name,role,base_ovr,batting_ovr,bowling_ovr,is_overseas,age,batting_hand,bowling_hand,batting_archetype,bowling_phase,bowling_type,strengths,weaknesses,natural_slot
Rehul Chehar,Bowler (Spin),81,22,81,False,24,Right,Right,Defensive Tailender,Middle Overs,Leg-spin,"Spin bowling, Power hitting","Concentration, Swing",11
Preveen Komar,Bowler (Fast),81,18,81,False,25,Right,Right,Defensive Tailender,New-ball Bowler,Right-arm Swing,"Technique, Power hitting","Concentration, High pace",9
RP Syngh,Bowler (Fast),81,18,81,False,22,Left,Left,Defensive Tailender,New-ball Bowler,Left-arm Fast,"Aggressive batting, Power hitting","Spin leg-break, Swing",11
Prynce Yedav,Bowler (Fast),81,16,81,False,25,Right,Right,Defensive Tailender,Death Overs,Right-arm Fast,"Spin bowling, Aggressive batting","Swing, Short pitch balls",11
Nethan Ellys,Bowler (Fast),81,16,81,True,27,Right,Right,Defensive Tailender,Death Overs,Right-arm Variations,"Spin bowling, Fast bowling","Running between wickets, Swing",11
Muhsin Khen,Bowler (Fast),81,14,81,False,24,Left,Left,Defensive Tailender,Flexible,Left-arm Fast,"Fielding, Fast bowling","Running between wickets, Spin leg-break",11
Sendeep Sherma,Bowler (Fast),81,12,81,False,23,Right,Right,Defensive Tailender,New-ball Bowler,Right-arm Swing,"Technique, Fielding","Concentration, Swing",11
Meyank Yedav,Bowler (Fast),81,11,81,False,23,Right,Right,Defensive Tailender,New Ball,Right-arm Fast,"Power hitting, Fast bowling","Spin leg-break, Running between wickets",11
Mychael Brecewell,All-Rounder,80,80,73,True,29,Left,Right,Middle-over Rotator,Middle Overs,Right-arm Offbreak,"Fast bowling, Aggressive batting","Spin off-break, Short pitch balls",6
Kemindu Mindis,All-Rounder,80,80,64,True,25,Left,Both,Middle-over Rotator,Flexible,Right-arm Offbreak,"Technique, Fielding","Swing, Spin off-break",5
Abdol Semad,All-Rounder,80,80,46,False,23,Right,Right,Finisher,Part-time,Right-arm Medium,"Spin bowling, Fast bowling","Short pitch balls, Spin leg-break",7
Rehul Tiwatia,Batsman,80,80,46,False,27,Left,Right,Finisher,Part-time,None,"Fielding, Power hitting","Short pitch balls, Concentration",6
Ayosh Bedoni,Batsman,80,80,45,False,24,Right,Right,Anchor,Part-time,None,"Aggressive batting, Power hitting","Short pitch balls, Concentration",5
Morali Vyjay,Batsman,80,80,10,False,27,Right,Right,Anchor,Part-time,None,"Aggressive batting, Fielding","Concentration, Spin leg-break",1
Greeme Smyth,Batsman,80,80,10,True,26,Left,Right,Aggressive Opener,Part-time,None,"Fast bowling, Fielding","Swing, Concentration",1
Lindl Symmons,Batsman,80,80,10,True,27,Right,Right,Aggressive Opener,Part-time,None,"Spin bowling, Death bowling","Spin leg-break, Swing",1
Jisse Rydir,Batsman,80,80,10,True,25,Left,Right,Aggressive Opener,Part-time,None,"Technique, Death bowling","Running between wickets, Concentration",3
Ryen Ryckelton,Wicketkeeper,80,80,10,True,26,Left,None,Aggressive Opener,Part-time,None,"Aggressive batting, Death bowling","Concentration, High pace",1
Andriw Flyntoff,All-Rounder,80,72,80,True,26,Right,Right,Lower-order Hitter,New-ball Bowler,Right-arm Fast,"Spin bowling, Fielding","Swing, Short pitch balls",7
Sherdul Thekur,All-Rounder,80,62,80,False,27,Right,Right,Lower-order Hitter,Flexible,Right-arm Medium,"Fielding, Death bowling","High pace, Concentration",8
Anshol Kemboj,Bowler (Fast),80,45,80,False,23,Right,Right,Defensive Tailender,New Ball,Right-arm Fast,"Power hitting, Spin bowling","Short pitch balls, Spin off-break",11
Suhail Tenvir,Bowler (Fast),80,18,80,True,25,Left,Left,Defensive Tailender,New-ball Bowler,Left-arm Fast,"Fielding, Spin bowling","Short pitch balls, Spin leg-break",11
Toshar Dishpande,Bowler (Fast),80,18,80,False,26,Right,Right,Defensive Tailender,Death Overs,Right-arm Fast,"Aggressive batting, Spin bowling","Running between wickets, Spin leg-break",11
Spincer Juhnson,Bowler (Fast),80,14,80,True,26,Left,Left,Defensive Tailender,New Ball,Left-arm Fast,"Fielding, Death bowling","Spin leg-break, High pace",11
Yesh Deyal,Bowler (Fast),80,12,80,False,25,Left,Left,Defensive Tailender,Death Overs,Left-arm Medium,"Aggressive batting, Technique","Spin leg-break, Running between wickets",11
Fezalhaq Ferooqi,Bowler (Fast),80,12,80,True,23,Right,Left,Defensive Tailender,New Ball,Left-arm Fast,"Death bowling, Fast bowling","Short pitch balls, Concentration",11
Nytish Komar Riddy,All-Rounder,79,79,74,False,22,Right,Right,Finisher,Flexible,Right-arm Medium,"Spin bowling, Aggressive batting","Spin off-break, Concentration",6
Metthew Shurt,All-Rounder,79,79,68,True,27,Right,Right,Aggressive Opener,Flexible,Right-arm Offbreak,"Fielding, Death bowling","High pace, Spin leg-break",1
JP Dominy,All-Rounder,79,79,63,True,26,Left,Right,Middle-over Rotator,Middle Overs,Right-arm Offbreak,"Fielding, Death bowling","Running between wickets, Concentration",5
Shirfane Rotherford,Batsman,79,79,35,True,25,Left,Right,Finisher,Part-time,None,"Fielding, Technique","Spin off-break, Short pitch balls",6
Nihal Wedhera,Batsman,79,79,15,False,23,Left,Right,Anchor,Part-time,None,"Power hitting, Fast bowling","Short pitch balls, Spin leg-break",5
Menoj Tywary,Batsman,79,79,10,False,26,Right,Right,Anchor,Part-time,None,"Power hitting, Fast bowling","Swing, Spin off-break",4
Tym Siifert,Batsman,79,79,10,True,26,Right,None,Aggressive Opener,Part-time,None,"Death bowling, Aggressive batting","Short pitch balls, Swing",1
Rehul Trypathi,Batsman,79,79,10,False,28,Right,Right,Anchor,Part-time,None,"Technique, Power hitting","Spin leg-break, Swing",1
Abyshek Purel,Wicketkeeper,79,79,10,False,23,Left,None,Aggressive Opener,Part-time,None,"Fielding, Death bowling","Swing, High pace",1
Wryddhiman Seha,Wicketkeeper,79,79,10,False,28,Right,None,Aggressive Opener,Part-time,None,"Power hitting, Fast bowling","Swing, Short pitch balls",1
Perthiv Petel,Wicketkeeper,79,79,10,False,25,Left,Right,Aggressive Opener,Part-time,None,"Spin bowling, Fielding","Swing, High pace",1
Shehbaz Ahmid,All-Rounder,79,73,79,False,26,Left,Left,Lower-order Hitter,Middle Overs,Left-arm Orthodox,"Death bowling, Spin bowling","Running between wickets, Spin leg-break",7
Brydun Cerse,All-Rounder,79,58,79,True,28,Right,Right,Lower-order Hitter,Death Overs,Right-arm Fast,"Fast bowling, Fielding","Concentration, Short pitch balls",8
Hershit Rena,Bowler (Fast),79,35,79,False,23,Right,Right,Defensive Tailender,New Ball,Right-arm Fast,"Aggressive batting, Technique","High pace, Spin leg-break",10
Akesh Diep,Bowler (Fast),79,20,79,False,26,Right,Right,Defensive Tailender,New Ball,Right-arm Fast,"Fielding, Technique","Spin off-break, Swing",11
Adem Mylne,Bowler (Fast),79,15,79,True,25,Right,Right,Defensive Tailender,Flexible,Right-arm Fast,"Power hitting, Death bowling","Spin off-break, Swing",11
Longi Ngydi,Bowler (Fast),79,11,79,True,25,Right,Right,Defensive Tailender,New Ball,Right-arm Fast,"Technique, Power hitting","Concentration, Swing",11
DJ Hossey,All-Rounder,78,78,68,True,29,Right,Right,Middle-over Rotator,Middle Overs,Right-arm Medium,"Death bowling, Fast bowling","Spin off-break, Running between wickets",6
M Shehrukh Khen,Batsman,78,78,45,False,26,Right,Right,Finisher,Part-time,None,"Technique, Fast bowling","High pace, Spin off-break",6
Ruvman Puwell,Batsman,78,78,40,True,27,Right,Right,Finisher,Part-time,None,"Spin bowling, Technique","Running between wickets, High pace",5
Pryyansh Arye,Batsman,78,78,10,False,23,Right,None,Aggressive Opener,Part-time,None,"Aggressive batting, Death bowling","Running between wickets, High pace",1
S Bedrinath,Batsman,78,78,10,False,28,Right,Right,Anchor,Part-time,None,"Spin bowling, Aggressive batting","Running between wickets, Spin off-break",5
Bred Hudge,Batsman,78,78,10,True,31,Right,Right,Anchor,Part-time,None,"Death bowling, Power hitting","High pace, Swing",5
VVS Lexman,Batsman,78,78,10,False,26,Right,Right,Anchor,Part-time,None,"Death bowling, Aggressive batting","Running between wickets, High pace",4
Russ Teylor,Batsman,78,78,10,True,27,Right,Right,Anchor,Part-time,None,"Fast bowling, Fielding","Running between wickets, Swing",4
Tum Benton,Wicketkeeper,78,78,10,True,25,Right,None,Aggressive Opener,Part-time,None,"Fast bowling, Technique","High pace, Spin leg-break",1
Jemie Smyth,Wicketkeeper,78,78,10,True,24,Right,None,Aggressive Opener,Part-time,None,"Spin bowling, Power hitting","Swing, Spin leg-break",1
Wyaan Molder,All-Rounder,78,76,78,True,25,Right,Right,Finisher,Flexible,Right-arm Medium,"Aggressive batting, Power hitting","Spin leg-break, Spin off-break",7
Rumario Shipherd,All-Rounder,78,74,78,True,27,Right,Right,Lower-order Hitter,Death Overs,Right-arm Medium,"Spin bowling, Death bowling","Spin leg-break, Spin off-break",7
Thysara Pirera,All-Rounder,78,72,78,True,26,Right,Right,Lower-order Hitter,Death Overs,Right-arm Fast,"Death bowling, Fielding","Running between wickets, Concentration",7
Bin Cotting,All-Rounder,78,72,78,True,27,Right,Right,Lower-order Hitter,Death Overs,Right-arm Fast,"Fielding, Death bowling","Concentration, Spin leg-break",7
Nethan Cuulter-Nyle,Bowler (Fast),78,55,78,True,26,Right,Right,Lower-order Hitter,Death Overs,Right-arm Fast,"Aggressive batting, Spin bowling","Swing, Spin leg-break",8
Gos Atkynson,All-Rounder,78,52,78,True,25,Right,Right,Lower-order Hitter,Death Overs,Right-arm Fast,"Fielding, Spin bowling","Spin off-break, Spin leg-break",8
Kyli Jemieson,Bowler (Fast),78,45,78,True,26,Right,Right,Defensive Tailender,New Ball,Right-arm Fast,"Aggressive batting, Fast bowling","Spin off-break, Concentration",11
Herpreet Brer,Bowler (Spin),78,45,78,False,26,Left,Left,Defensive Tailender,Middle Overs,Left-arm Orthodox,"Aggressive batting, Death bowling","Swing, Running between wickets",11
Deniel Vittori,Bowler (Spin),78,25,78,True,27,Left,Left,Defensive Tailender,Middle Overs,Left-arm Orthodox,"Power hitting, Fielding","Swing, Running between wickets",11
Resikh Selam,Bowler (Fast),78,25,78,False,24,Right,Right,Defensive Tailender,Death Overs,Right-arm Fast,"Technique, Fast bowling","High pace, Short pitch balls",11
Alzerri Juseph,Bowler (Fast),78,24,78,True,25,Right,Right,Defensive Tailender,Death Overs,Right-arm Fast,"Fielding, Aggressive batting","Spin leg-break, High pace",10
Vynay Komar,Bowler (Fast),78,18,78,False,27,Right,Right,Defensive Tailender,New-ball Bowler,Right-arm Fast,"Fast bowling, Death bowling","Spin leg-break, Short pitch balls",11
Teskin Ahmid,Bowler (Fast),78,16,78,True,26,Left,Right,Defensive Tailender,New Ball,Right-arm Fast,"Technique, Death bowling","Spin leg-break, Running between wickets",11
Nendre Borger,Bowler (Fast),78,16,78,True,26,Left,Left,Defensive Tailender,New Ball,Left-arm Fast,"Death bowling, Fast bowling","Concentration, Running between wickets",11
Monaf Petel,Bowler (Fast),78,15,78,False,25,Right,Right,Defensive Tailender,New-ball Bowler,Right-arm Fast,"Spin bowling, Fast bowling","Concentration, Short pitch balls",11
Dhewal Kolkarni,Bowler (Fast),78,15,78,False,25,Right,Right,Defensive Tailender,New-ball Bowler,Right-arm Swing,"Power hitting, Fast bowling","Swing, Short pitch balls",11
Mytchell McClinaghan,Bowler (Fast),78,12,78,True,27,Left,Left,Defensive Tailender,New-ball Bowler,Left-arm Fast,"Fielding, Fast bowling","Spin off-break, Swing",11
Soyash Sherma,Bowler (Spin),78,11,78,False,23,Right,Right,Defensive Tailender,Middle Overs,Leg-spin,"Power hitting, Fielding","Spin leg-break, Spin off-break",11
Nowan Thoshara,Bowler (Fast),78,11,78,True,26,Right,Right,Defensive Tailender,Death Overs,Right-arm Fast,"Fielding, Power hitting","High pace, Running between wickets",11
Jeck Edwerds,All-Rounder,77,77,72,True,25,Right,Right,Lower-order Hitter,Flexible,Right-arm Medium,"Death bowling, Spin bowling","High pace, Running between wickets",7
Diwald Brivis,Batsman,77,77,30,True,23,Right,Right,Aggressive Opener,Part-time,None,"Fielding, Death bowling","Running between wickets, Concentration",4
Abhynav Menohar,Batsman,77,77,12,False,27,Right,None,Finisher,Part-time,None,"Fielding, Fast bowling","Concentration, Spin leg-break",6
Prythvi Shew,Batsman,77,77,10,False,22,Right,Right,Aggressive Opener,Part-time,None,"Fielding, Spin bowling","Spin leg-break, Swing",1
Metthew Brietzke,Wicketkeeper,77,77,10,True,26,Right,None,Aggressive Opener,Part-time,None,"Fast bowling, Death bowling","High pace, Concentration",1
Neman Ojhe,Wicketkeeper,77,77,10,False,27,Right,None,Anchor,Part-time,None,"Fast bowling, Death bowling","Spin leg-break, High pace",4
Jemie Ovirton,All-Rounder,77,70,77,True,27,Right,Right,Lower-order Hitter,Flexible,Right-arm Medium,"Aggressive batting, Death bowling","Running between wickets, Swing",8
Ryen McLeren,All-Rounder,77,68,77,True,28,Right,Right,Lower-order Hitter,Flexible,Right-arm Fast,"Aggressive batting, Spin bowling","Short pitch balls, Swing",7
Sian Abbutt,All-Rounder,77,48,77,True,28,Right,Right,Lower-order Hitter,Death Overs,Right-arm Fast,"Technique, Spin bowling","Running between wickets, Swing",8
Xevier Bertlett,Bowler (Fast),77,24,77,True,25,Right,Right,Defensive Tailender,New Ball,Right-arm Fast,"Power hitting, Fielding","Spin leg-break, Concentration",11
Vyjaykumar Vyshek,Bowler (Fast),77,18,77,False,26,Right,Right,Defensive Tailender,Flexible,Right-arm Fast,"Aggressive batting, Technique","Spin off-break, Spin leg-break",10
Veibhav Suoryavanshi,Batsman,77,77,10,False,14,Left,None,Aggressive Opener,Part-time,None,"Spin bowling, Death bowling","Short pitch balls, High pace",1
Jhyi Rychardson,Bowler (Fast),77,18,77,True,25,Right,Right,Defensive Tailender,Death Overs,Right-arm Fast,"Technique, Fast bowling","Swing, Spin leg-break",11
Meyank Merkande,Bowler (Spin),77,16,77,False,25,Right,Right,Defensive Tailender,Middle Overs,Leg-spin,"Death bowling, Aggressive batting","Spin leg-break, High pace",11
Duug Bullinger,Bowler (Fast),77,15,77,True,27,Left,Left,Defensive Tailender,New-ball Bowler,Left-arm Fast,"Spin bowling, Fast bowling","Spin leg-break, High pace",11
Veibhav Arura,Bowler (Fast),77,13,77,False,26,Right,Right,Defensive Tailender,Flexible,Right-arm Fast,"Aggressive batting, Fielding","Concentration, High pace",11
Yesh Thekur,Bowler (Fast),77,12,77,False,25,Right,Right,Defensive Tailender,Flexible,Right-arm Fast,"Death bowling, Technique","Running between wickets, Spin leg-break",11
Desun Shenaka,All-Rounder,76,76,58,True,27,Right,Right,Middle-over Rotator,Part-time,Right-arm Medium,"Fielding, Technique","Spin leg-break, Running between wickets",6
Den Lewrence,All-Rounder,76,76,55,True,26,Right,Right,Middle-over Rotator,Part-time,Right-arm Offbreak,"Death bowling, Fielding","Swing, Spin off-break",5
Ashotosh Sherma,Batsman,76,76,20,False,26,Right,Right,Finisher,Part-time,None,"Fielding, Technique","High pace, Swing",6
Jeke Freser-McGork,Batsman,76,76,12,True,23,Right,None,Aggressive Opener,Part-time,None,"Death bowling, Technique","Spin leg-break, Spin off-break",1
Serfaraz Khen,Batsman,76,76,10,False,25,Right,Right,Anchor,Part-time,None,"Fielding, Technique","Swing, Running between wickets",4
Jurdan Cux,Batsman,76,76,10,True,25,Right,None,Anchor,Part-time,None,"Aggressive batting, Death bowling","Concentration, Spin off-break",4
Tenush Kutian,All-Rounder,76,72,76,False,26,Right,Right,Finisher,Middle Overs,Right-arm Offbreak,"Death bowling, Aggressive batting","Short pitch balls, High pace",8
R Bhetia,All-Rounder,76,68,76,False,28,Right,Right,Finisher,Middle Overs,Right-arm Medium,"Fast bowling, Fielding","Swing, High pace",7
Agyt Agerkar,Bowler (Fast),76,30,76,False,25,Right,Right,Defensive Tailender,New-ball Bowler,Right-arm Fast,"Power hitting, Aggressive batting","Swing, Running between wickets",9
Jeydev Unedkat,Bowler (Fast),76,22,76,False,26,Right,Left,Defensive Tailender,New Ball,Left-arm Fast,"Aggressive batting, Fielding","Concentration, Spin off-break",11
AM Ghezanfar,Bowler (Spin),76,18,76,True,20,Right,Right,Defensive Tailender,Middle Overs,Leg-spin,"Death bowling, Technique","Spin off-break, High pace",11
Lekshmipathy Belaji,Bowler (Fast),76,15,76,False,25,Right,Right,Defensive Tailender,New-ball Bowler,Right-arm Fast,"Death bowling, Fielding","Spin leg-break, Concentration",11
Alfunso Thumas,Bowler (Fast),76,15,76,True,29,Right,Right,Defensive Tailender,Death Overs,Right-arm Fast,"Spin bowling, Power hitting","High pace, Swing",11
Jecob Doffy,Bowler (Fast),76,15,76,True,28,Right,Right,Defensive Tailender,New Ball,Right-arm Fast,"Death bowling, Technique","Spin leg-break, Spin off-break",11
Dygvesh Rethi,Bowler (Spin),76,14,76,False,24,Right,Right,Defensive Tailender,Middle Overs,Leg-spin,"Technique, Power hitting","Spin leg-break, Swing",11
Doshmantha Chemeera,Bowler (Fast),76,14,76,True,26,Right,Right,Defensive Tailender,Flexible,Right-arm Fast,"Fielding, Death bowling","High pace, Spin leg-break",11
Dyrk Nennes,Bowler (Fast),76,12,76,True,31,Right,Left,Defensive Tailender,New-ball Bowler,Left-arm Fast,"Spin bowling, Fast bowling","Running between wickets, Short pitch balls",11
Ryley Miredith,Bowler (Fast),76,12,76,True,26,Right,Right,Defensive Tailender,Death Overs,Right-arm Fast,"Spin bowling, Aggressive batting","Running between wickets, Concentration",11
Rychard Glieson,Bowler (Fast),76,12,76,True,33,Right,Right,Defensive Tailender,New Ball,Right-arm Fast,"Power hitting, Fast bowling","Concentration, Spin off-break",11
Koldeep Sin,Bowler (Fast),76,12,76,False,25,Right,Right,Defensive Tailender,Flexible,Right-arm Fast,"Technique, Fast bowling","Running between wickets, Swing",11
Gorjapneet Syngh,Bowler (Fast),76,12,76,False,25,Left,Left,Defensive Tailender,Flexible,Left-arm Fast,"Aggressive batting, Fielding","Spin leg-break, Spin off-break",11
Menimaran Syddharth,Bowler (Spin),76,11,76,False,25,Right,Left,Defensive Tailender,Middle Overs,Left-arm Orthodox,"Fast bowling, Technique","High pace, Concentration",11
Jecob Bithell,All-Rounder,75,75,72,True,22,Left,Left,Finisher,Flexible,Left-arm Medium,"Fielding, Spin bowling","Spin leg-break, Concentration",5
Peul Cullingwood,All-Rounder,75,75,72,True,28,Right,Right,Middle-over Rotator,Middle Overs,Right-arm Medium,"Fielding, Technique","High pace, Short pitch balls",6
Mehipal Lumror,All-Rounder,75,75,58,False,25,Left,Left,Middle-over Rotator,Part-time,Left-arm Orthodox,"Aggressive batting, Death bowling","Spin off-break, Swing",6
Diepak Huoda,Batsman,75,75,44,False,26,Right,Right,Anchor,Part-time,None,"Technique, Fast bowling","High pace, Concentration",4
Dunovan Firreira,Wicketkeeper,75,75,35,True,25,Right,Right,Finisher,Part-time,None,"Technique, Fielding","Running between wickets, Concentration",6
Neman Dhyr,Batsman,75,75,32,False,24,Right,Right,Anchor,Part-time,None,"Power hitting, Fielding","Concentration, Short pitch balls",5
Urvyl Petel,Wicketkeeper,75,75,10,False,25,Right,None,Aggressive Opener,Part-time,None,"Death bowling, Technique","Short pitch balls, Running between wickets",1
Tijasvi Dehiya,Batsman,75,75,10,False,23,Right,None,Anchor,Part-time,None,"Power hitting, Death bowling","Spin leg-break, Spin off-break",5
Srykar Bherat,Wicketkeeper,75,75,10,False,28,Right,None,Anchor,Part-time,None,"Spin bowling, Death bowling","High pace, Spin off-break",5
Mokul Chuudhary,Batsman,75,75,10,False,23,Right,None,Middle-over Rotator,Part-time,None,"Fielding, Fast bowling","High pace, Swing",6
Kerun Neir,Batsman,75,75,10,False,24,Right,Right,Anchor,Part-time,None,"Spin bowling, Technique","Swing, Short pitch balls",4
Swepnil Syngh,All-Rounder,75,70,75,False,28,Left,Left,Finisher,Middle Overs,Left-arm Orthodox,"Fast bowling, Aggressive batting","Spin off-break, Concentration",8
Wyll Sotherland,All-Rounder,75,64,75,True,26,Right,Right,Lower-order Hitter,Flexible,Right-arm Medium,"Spin bowling, Fast bowling","Concentration, Spin leg-break",7
Nethan Smyth,All-Rounder,75,60,75,True,26,Right,Right,Lower-order Hitter,Flexible,Right-arm Medium,"Power hitting, Spin bowling","Spin leg-break, Concentration",8
Bin Dwershuis,Bowler (Fast),75,42,75,True,27,Left,Left,Defensive Tailender,Death Overs,Left-arm Fast,"Aggressive batting, Fast bowling","Spin off-break, Swing",11
Mytchell Owin,All-Rounder,75,42,75,True,24,Right,Right,Lower-order Hitter,Flexible,Right-arm Fast,"Fielding, Power hitting","Swing, High pace",6
Arshed Khen,All-Rounder,75,42,75,False,26,Left,Left,Lower-order Hitter,Flexible,Left-arm Fast,"Power hitting, Death bowling","Concentration, High pace",7
Shyvam Mevi,Bowler (Fast),75,32,75,False,24,Right,Right,Defensive Tailender,New Ball,Right-arm Fast,"Death bowling, Aggressive batting","Short pitch balls, Spin off-break",11
Menav Sothar,Bowler (Spin),75,30,75,False,23,Left,Left,Defensive Tailender,Middle Overs,Left-arm Orthodox,"Fast bowling, Technique","Swing, Concentration",11
